Address,Response_X,Response_Y
大武鄉大鳥村11鄰大鳥288-1號,120.920546,22.399989
政通五街1巷5號,120.889028,22.340441
大武鄉尚武村4鄰客莊路66號,120.89281,22.338325
太麻里鄉大王村佳崙196號,120.970713,22.635687
太麻里鄉大王村佳崙路292號 Day-lily Mountain,120.959968,22.645071
太麻里鄉太峰路145號,121.004581,22.614585
太麻里鄉大王村太峰路147號,121.004485,22.614464
太麻里鄉金崙溫泉1-6號,121.009814,22.624412
太麻里鄉多良村多良2-2號?,120.938315,22.526734
太麻里鄉金崙村54號 太麻里鄉金崙村54號,120.938528,22.531404
太麻里鄉金崙村128號,120.966326,22.531361
金崙村353號,120.96364,22.532288
金崙村353號,120.96364,22.532288
太麻里鄉金崙村355號,120.963403,22.533494
太麻里鄉美和村7鄰荒野20號,121.043224,22.697721
太麻里鄉泰和村曙光街2號,120.998251,22.601928
太麻里鄉太麻里街246號?,121.006159,22.612233
太麻里鄉南北坑21號,121.02206,22.653345
成功鎮三仙里白蓮路71號,121.401227,23.127597
白蓮路170號,121.400589,23.129393
成功鎮白蓮路257號,121.399897,23.130362
成功鎮芝田路1-68號,121.379131,23.110496
成功鎮芝田路1號,121.382585,23.107692
成功鎮高台路60-30號,121.388634,23.127303
成功鎮高台路60-30號,121.388634,23.127303
成功鎮三民里天津街46號,121.373816,23.10333
成功鎮三民路2號5樓,121.370129,23.101322
成功鎮跋邊路129號,121.356022,23.083849
成功鎮和平里和平路16號,121.339187,23.059545
成功鎮和平里跋邊路47號,121.350155,23.076315
成功鎮民族路24號,121.377532,23.100579
成功鎮公民路27-12號,121.37314,23.099895
成功鎮麒麟路131號,121.360534,23.094526
成功鎮石傘路77-40號,121.396885,23.185013
成功鎮石傘路77-55號,121.397008,23.181618
成功鎮石傘路115-2號,121.396174,23.170991
成功鎮美山路1-6號,121.394017,23.145738
成功鎮成廣路42-2號,121.40163,23.159186
成功鎮成廣路42-2號,121.40163,23.159186
成功鎮中山路56號,121.379124,23.102146
成功鎮都歷路1-26號,121.325284,23.022807
成功鎮都歷路1-26號,121.325284,23.022807
成功鎮都歷路246-28號,121.334808,23.032847
成功鎮都歷路246-28號,121.334808,23.032847
成功鎮都歷路316-1號,121.336937,23.035696
成功鎮豐田路16-2號?,121.343024,23.049551
成功鎮豐田路16-2號?,121.343024,23.049551
成功鎮信義里豐田路25-1號,121.344037,23.050808
成功鎮信義里豐田路25-1號,121.344037,23.050808
成功鎮信義里豐田路27-5號,121.344527,23.051573
成功鎮豐田路28-1號,121.342704,23.049806
成功鎮信義里小馬路92-1號,121.315955,22.99709
成功鎮小馬路134-12號,121.317507,23.007515
成功鎮小馬路134-12號,121.317507,23.007515
成功鎮信義里小馬路134-7號,121.316424,23.005621
成功鎮信義里小馬路134-7號,121.316424,23.005621
成功鎮小馬路134-9號,121.31813,23.006103
成功鎮信義里9鄰新村路13-6號?,121.322098,23.012584
池上鄉大埔村76-2號,121.213961,23.121196
池上鄉埔中二街31號,121.212745,23.118713
池上鄉新興村新興107號,121.198837,23.105613
池上鄉新興村110號,121.196709,23.105765
